operator,id_ticket,date,activity
Alam,4305/BJBR/Feb/2019,"2019-12-02 21:37:00.0",CLOSE
Alam,6544/BJBR/Aug/2019,"2019-08-09 23:40:15.0",CLOSE
Dicky,6552/BPJS/Aug/2019,"2019-08-09 14:07:00.0",CLOSE
Laura,6528/BSBB/Aug/2019,"2019-08-08 17:36:00.0",CLOSE
Fajar,6538/BJBR/Aug/2019,"2019-08-08 16:29:00.0",CLOSE
Laura,6546/BPJS/Aug/2019,"2019-08-08 16:27:00.0",CLOSE
Fajar,6537/BJBR/Aug/2019,"2019-08-08 16:25:00.0",CLOSE
Laura,6506/BSBB/Aug/2019,"2019-08-08 15:29:00.0",CLOSE
Fajar,6531/BJBR/Aug/2019,"2019-08-08 15:28:00.0",CLOSE
Fajar,6535/BJBR/Aug/2019,"2019-08-08 15:25:00.0",CLOSE
Laura,6530/BSBB/Aug/2019,"2019-08-08 15:00:00.0",CLOSE
Fajar,6326/BJBR/Jul/2019,"2019-08-08 14:40:00.0",CLOSE
Fajar,6532/BJBR/Aug/2019,"2019-08-08 13:22:00.0",CLOSE
Indri,6524/BRKR/Aug/2019,"2019-08-08 12:58:00.0",CLOSE
Sayyid,6522/BSBB/Aug/2019,"2019-08-08 11:03:00.0",CLOSE
Laura,6498/BRKR/Aug/2019,"2019-08-07 20:53:00.0",CLOSE
Fajar,6500/BJBR/Aug/2019,"2019-08-07 19:02:00.0",CLOSE
Paul,6521/BJBR/Aug/2019,"2019-08-07 18:33:00.0",CLOSE
Paul,6529/BJBR/Aug/2019,"2019-08-07 16:00:00.0",CLOSE
Paul,6509/BJBR/Aug/2019,"2019-08-07 15:23:15.0",CLOSE
Paul,6527/BJBR/Aug/2019,"2019-08-07 15:15:00.0",CLOSE
Paul,6516/BJBR/Aug/2019,"2019-08-07 14:56:15.0",CLOSE
Paul,6332/BJBR/Jul/2019,"2019-08-07 14:35:15.0",CLOSE
Paul,6515/BJBR/Aug/2019,"2019-08-07 14:04:15.0",CLOSE
Paul,6512/BJBR/Aug/2019,"2019-08-07 11:00:00.0",CLOSE
Paul,6517/BJBR/Aug/2019,"2019-08-07 10:41:15.0",CLOSE
Rama,0000/TEST/Jun/2019,"2019-08-07 09:42:30.0",CLOSE
Sayyid,6526/BPJS/Aug/2019,"2019-08-07 09:35:45.0",CLOSE
Sayyid,6525/BPJS/Aug/2019,"2019-08-07 09:10:45.0",CLOSE
Fajar,6508/BJBR/Aug/2019,"2019-08-06 20:26:00.0",CLOSE
Paul,6505/BJBR/Aug/2019,"2019-08-06 16:26:30.0",CLOSE
Paul,6459/BJBR/Aug/2019,"2019-08-06 15:49:30.0",CLOSE
Vio,6473/BSBB/Aug/2019,"2019-08-06 15:38:00.0",CLOSE
Paul,6510/BJBR/Aug/2019,"2019-08-06 14:30:00.0",CLOSE
Paul,6511/BJBR/Aug/2019,"2019-08-06 14:04:00.0",CLOSE
Paul,6503/BJBR/Aug/2019,"2019-08-06 14:03:30.0",CLOSE
Paul,6497/BJBR/Aug/2019,"2019-08-06 14:02:30.0",CLOSE
Paul,6493/BJBR/Aug/2019,"2019-08-06 13:46:30.0",CLOSE
Paul,6499/BJBR/Aug/2019,"2019-08-06 12:56:30.0",CLOSE
Paul,6354/BJBR/Jul/2019,"2019-08-06 12:55:30.0",CLOSE
Fajar,6501/BJBR/Aug/2019,"2019-08-06 12:53:00.0",CLOSE
Fajar,6502/BJBR/Aug/2019,"2019-08-06 12:53:00.0",CLOSE
Fajar,6475/BJBR/Aug/2019,"2019-08-06 10:18:00.0",CLOSE
Vio,6491/BRKR/Aug/2019,"2019-08-05 16:50:00.0",CLOSE
Vio,6449/BSBB/Aug/2019,"2019-08-05 16:29:00.0",CLOSE
Vio,6477/BRKR/Aug/2019,"2019-08-05 15:40:00.0",CLOSE
Vio,6486/BRKR/Aug/2019,"2019-08-05 15:38:00.0",CLOSE
Paul,6478/BJBR/Aug/2019,"2019-08-05 15:27:30.0",CLOSE
Alam,6271/BJBR/Jul/2019,"2019-08-05 15:00:00.0",CLOSE
Vio,6452/BSBB/Aug/2019,"2019-08-05 15:00:00.0",CLOSE
Fajar,6480/BJBR/Aug/2019,"2019-08-05 14:53:00.0",CLOSE
Fajar,6481/BJBR/Aug/2019,"2019-08-05 14:31:00.0",CLOSE
Yefta,6474/BRKR/Aug/2019,"2019-08-05 13:46:00.0",CLOSE
Fajar,6485/BJBR/Aug/2019,"2019-08-05 12:54:00.0",CLOSE
Paul,6479/BJBR/Aug/2019,"2019-08-05 11:57:15.0",CLOSE
Paul,6483/BJBR/Aug/2019,"2019-08-05 11:40:15.0",CLOSE
Paul,6476/BJBR/Aug/2019,"2019-08-05 11:25:15.0",CLOSE
Laura,6428/BPJS/Aug/2019,"2019-08-05 11:00:00.0",CLOSE
Laura,6470/BRKR/Aug/2019,"2019-08-05 09:31:00.0",CLOSE
Zhubaidi,6472/BPJS/Aug/2019,"2019-08-05 04:42:30.0",CLOSE
Zhubaidi,6471/BPJS/Aug/2019,"2019-08-04 22:16:15.0",CLOSE
Paul,6463/BJBR/Aug/2019,"2019-08-04 17:41:00.0",CLOSE
Laura,6462/BSBB/Aug/2019,"2019-08-04 13:33:00.0",CLOSE
Sayyid,6460/BRKR/Aug/2019,"2019-08-03 19:15:45.0",CLOSE
Fajar,6457/BJBR/Aug/2019,"2019-08-03 19:03:00.0",CLOSE
Alam,6461/BJBR/Aug/2019,"2019-08-03 17:41:15.0",CLOSE
Laura,6424/BSBB/Aug/2019,"2019-08-03 15:04:00.0",CLOSE
